RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
395199,"Walla Walla, WA",367,167900,173900,162900,160200,167400,168100,171900,173900,174400,186900,187600,195500,195700,191400,195300,174900,174400,164100,166300,166900,168900,174700,180600,188700,186900,185600,174700,181800,180900,178300,170100,172e3,175400,192700,180500,191e3,172700,175300,166600,175500,179800,179400,170700,167100,162300,169300,175300,169100,171100,164500,169700,165500,170800,181200,178800,187200,179900,197200,184800,183200,169900,179100,187100,184800,179e3,176500,199100,200800,204300,184500,186700,169100,167100,163600,179300,179900,199900,192200,197700,178900,184600,180100,180200,181800,184100,19e4,197500,202100,196400,197300,196400,200600,194500,190100,191700,203900,219500,217300,204300,189300,201400,207200,212800,202900,203e3,207e3,212700,219e3,222300,216900,209500,215900,224800,234800,221600,225400,228900,246300,242300,238400,221500,214100,220100,232400,242900,238700,238800,244e3,239200,237600,247800,261400,259400,
395071,"Sayre, PA",368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130200,130900,131400,118900,120800,121500,133900,135300,135200,119100,117100,115200,133800,129600,126700,122e3,121700,130700,135e3,130200,115900,108900,126e3,134300,131200,116700,111300,116500,116800,117300,106700,105500,112100,120600,116400,110400,103400,122e3,127200,136300,122900,121600,120300,126e3,128e3,137900,136300,125500,122200,114700,128200,119200,127500,125500,134900,134900,122100,118e3,119700,124400,122300,130200,132e3,127200,100600,110400,115700,116100,113e3,109300,130100,
394939,"Oneonta, NY",369,101900,114500,124500,135600,134700,136100,126600,116100,108900,107100,113e3,125700,13e4,145500,133e3,133500,120900,130200,127900,125300,113500,108500,101400,96600,106800,115200,119600,113700,104900,113900,109200,114600,112100,128500,134900,127700,114e3,101500,114100,115900,117100,107500,116800,116300,112300,115400,123400,122600,116700,129700,139300,128800,117400,125900,130900,120500,104300,100100,110800,120400,130100,134e3,134200,128700,129600,121900,126100,116300,118100,118300,116800,119300,115100,129100,132100,131800,116900,116600,113200,109800,106300,102e3,110500,108700,116600,115700,115300,116600,119600,119900,117300,118800,122400,127400,114800,103400,99500,106600,117300,129600,127900,128900,123200,127100,123600,115300,114800,114200,107e3,103800,99800,105100,108400,113800,113800,117e3,118900,116800,120500,122300,129900,135500,134600,137400,127500,127200,124600,109900,112500,114300,137800,130300,112900,
394360,"Baraboo, WI",370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147e3,147e3,152400,154800,158e3,160200,156500,148700,150700,151700,154e3,144300,146100,149400,154700,149900,154e3,155e3,161900,160800,158700,161600,160900,167600,163300,168600,168400,172200,169700,169100,175e3,187800,186800,198e3,183100,182600,171300,173400,178100,173200,178300,172500,172e3,165300,176100,,
395049,"Salina, KS",371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106200,105400,101800,110500,117900,125700,127700,123600,133700,152800,155600,140300,116600,118100,123700,122e3,116e3,108900,110300,103800,101900,98800,115e3,114200,121500,118100,115900,115e3,117e3,120600,120700,116e3,122800,126600,130500,135500,132500,129300,126800,126100,127900,128100,128100,134600,122700,125100,119100,133800,129600,138700,129e3,130700,117200,114600,108700,113e3,13e4,144e3,141100
395136,"Sturgis, MI",372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55e3,55100,55200,60600,62e3,66100,61900,67500,68400,68300,51800,47600,46700,55300,51700,54900,60500,57700,58400,53800,63500,61300,61300,60200,58e3,61e3,63200,67700,66700,65700,66400,66600,69500,70500,70800,77900,78300,77700,71600,72600,74e3,75500,77800,80400,79400,80700,8e4,81700,75900,76300,86200,90100,91e3,82100,80500,81600,79800,78500,83e3,87700,93100,88400,86100,88600,89100,89500,87700,85900,88900,88500,89900,88400,91100,95700,97500,98600,99800,96800,101e3,103400,112500,115200,120800,108600,103500,107200,119e3,126400,116600,122300,12e4,129600,118e3,119300,117600,123100,
394787,"Lewiston, ID",373,161800,151200,144700,146600,152700,152400,156e3,164800,166700,165700,161500,155100,149300,144900,148e3,144600,143600,147300,154e3,155e3,151800,148500,154300,150200,151900,147400,157500,154900,158700,166e3,181900,181500,165600,154900,143e3,139700,129e3,138e3,148900,161800,158800,153300,156e3,162300,172200,167e3,160700,147100,145e3,150800,159900,164800,157200,160400,164800,174400,176400,166800,167800,165e3,171100,164200,161200,159600,154800,153700,153700,157600,155800,155500,167600,171200,172800,167100,163600,158e3,158800,161600,173100,171900,168e3,156e3,158200,156e3,163800,164200,176700,185100,184800,181e3,168800,169700,169700,176800,175100,179500,171700,173900,165100,171300,170900,172e3,183300,189400,204700,196100,191100,180100,175900,179400,185900,191600,192100,199200,197400,197700,194400,197800,195900,191300,198600,208500,209800,204800,193400,202400,208800,218400,218100,208600,202300,191400,195400,
395092,"Shelton, WA",374,177200,188700,195e3,193600,182800,176300,173700,178e3,168100,172500,165600,169700,152800,148400,156400,171100,178800,167100,158600,158500,167400,172400,178900,169500,163400,176e3,180200,172900,158800,174200,190500,187700,164900,163600,159e3,186700,169e3,167500,133200,137600,143400,148100,144900,132e3,150700,160600,165800,147100,145300,141900,152e3,164900,164600,172400,164400,186100,186500,184900,170400,162500,161600,151200,142100,143700,156500,160400,169700,169800,169600,157900,158200,161400,165700,159600,159900,158900,163900,166e3,167800,162600,162600,159400,161500,153600,157900,170200,184500,184e3,175800,170600,172800,178300,183300,181500,168700,17e4,166400,183200,181900,191600,189800,196800,192800,193700,191500,203100,207100,205700,206300,206300,211600,209500,218500,219600,226300,230200,233800,243e3,247e3,255200,250100,245500,239700,236600,237800,231500,228800,233100,238700,253900,244200,252400,247400,267200
394309,"Albemarle, NC",375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116700,117700,113700,112800,114300,116800,120700,127200,120800,116500,111100,118600,133500,131900,130800,115900,117100,110600,133300,126800,135700,128700,136600,134e3,129700,138400,139100,145200,138100,143700,143400,152800,149200,147700,141100,142e3,145800,145400,144900,131800,131600,140800,159800,165500,
394570,"Enid, OK",376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117e3,118100,107900,119900,122100,115100,113100,115800,127500,126900,131800,131300,129300,121400,117600,113400,113e3,111e3,115300,111800,110100,101400,103600,107e3,114400,113500,106700,103700,102200,109800,110800,123e3,120700,122400,123200,124300,128700,117500,114900,111e3,108400,110100,111100,114100,121500,105300,90500,81300,
